City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Sidi Ali,36.0998,0.4206,59.43,66,0,3.91,DZ,2022-04-16 17:59:43
98,Souillac,-20.5167,57.5167,77.38,78,40,10.36,MU,2022-04-16 17:59:43
99,Qaqortoq,60.7167,-46.0333,33.53,70,3,4.5,GL,2022-04-16 17:59:44
100,Kavaratti,10.5669,72.642,84.42,72,28,3.8,IN,2022-04-16 17:59:44
101,Bud,39.447,-86.1758,59.68,48,60,13.44,US,2022-04-16 17:55:51
102,Bandarbeyla,9.4942,50.8122,82.36,78,53,10.58,SO,2022-04-16 17:59:45
103,Lodwar,3.1191,35.5973,82.02,57,88,9.24,KE,2022-04-16 17:59:45
104,Busselton,-33.65,115.3333,58.48,77,82,11.23,AU,2022-04-16 17:59:46
105,Maceio,-9.6658,-35.7353,89.04,66,40,13.8,BR,2022-04-16 17:52:31
106,Moyale,3.5167,39.0584,73.44,59,99,2.24,KE,2022-04-16 17:50:34
107,Narsaq,60.9167,-46.05,36.34,64,1,2.64,GL,2022-04-16 17:50:44
108,Rio Grande,-32.035,-52.0986,78.91,54,98,6.71,BR,2022-04-16 17:50:43
109,Viedma,-40.8135,-62.9967,69.84,46,7,14.41,AR,2022-04-16 17:59:46
110,Punta Arenas,-53.15,-70.9167,48.31,61,40,5.75,CL,2022-04-16 17:59:40
111,Mapiri,-15.25,-68.1667,80.33,56,91,1.68,BO,2022-04-16 17:59:47
112,Abu Dhabi,24.4667,54.3667,87.82,54,0,4.61,AE,2022-04-16 17:57:51
113,Piacabucu,-10.4056,-36.4344,86.09,67,33,13.62,BR,2022-04-16 17:53:17
114,Asyut,27.181,31.1837,89.78,10,0,6.11,EG,2022-04-16 17:59:48
115,Margate,51.3813,1.3862,57.11,80,3,4.0,GB,2022-04-16 17:59:48
116,Hamilton,39.1834,-84.5333,59.65,73,97,5.01,US,2022-04-16 17:53:40
117,Knysna,-34.0363,23.0471,59.34,80,24,9.62,ZA,2022-04-16 17:59:49
118,Axim,4.8699,-2.2405,76.23,93,100,10.33,GH,2022-04-16 17:57:11
119,Mahanoro,-19.9,48.8,75.36,85,20,2.53,MG,2022-04-16 17:59:49
120,Caravelas,-17.7125,-39.2481,78.19,70,100,11.61,BR,2022-04-16 17:59:50
121,Olinda,-8.0089,-34.8553,87.53,70,40,10.36,BR,2022-04-16 17:50:05
122,Barraute,48.4335,-77.6328,32.27,66,100,7.38,CA,2022-04-16 17:59:50
123,Adrar,20.5022,-10.0711,94.23,8,0,8.43,MR,2022-04-16 17:59:51
124,Umm Lajj,25.0213,37.2685,78.71,59,0,6.46,SA,2022-04-16 17:59:51
125,Loukhi,66.0764,33.0381,31.84,85,99,6.62,RU,2022-04-16 17:59:51
126,Kirkenaer,60.4564,12.0582,45.23,86,35,0.94,NO,2022-04-16 17:59:52
127,Coihaique,-45.5752,-72.0662,59.61,58,0,5.75,CL,2022-04-16 17:59:52
128,Roanoke Rapids,36.4615,-77.6542,71.02,77,0,8.05,US,2022-04-16 17:59:53
129,Torbay,47.6666,-52.7314,56.75,58,0,27.63,CA,2022-04-16 17:59:53
130,Ankazoabo,-22.2833,44.5167,79.83,56,61,7.23,MG,2022-04-16 17:59:53
131,Camacha,33.0833,-16.3333,65.62,60,20,16.11,PT,2022-04-16 17:50:35
132,Punta Cardon,11.6581,-70.215,84.0,66,7,28.61,VE,2022-04-16 17:59:54
133,Vardo,70.3705,31.1107,39.13,84,100,23.55,NO,2022-04-16 17:59:54
134,Sergeyevka,53.88,67.4158,49.95,57,97,6.29,KZ,2022-04-16 17:59:55
135,Bako,5.7833,36.5667,64.18,86,98,2.82,ET,2022-04-16 17:59:55
136,Mangrol,21.1167,70.1167,80.62,72,0,9.73,IN,2022-04-16 18:00:56
137,Saint-Augustin,51.226,-58.6502,32.72,99,100,11.5,CA,2022-04-16 18:00:56
138,Pafos,34.7667,32.4167,65.98,48,0,2.3,CY,2022-04-16 18:00:57
139,Clyde River,70.4692,-68.5914,-5.15,90,100,3.36,CA,2022-04-16 18:00:58
140,Longyearbyen,78.2186,15.6401,26.44,74,75,12.66,SJ,2022-04-16 18:00:58
141,Laguna,38.421,-121.4238,63.05,75,100,11.5,US,2022-04-16 18:00:59
142,Korla,41.7597,86.1469,52.48,12,0,2.17,CN,2022-04-16 17:54:25
143,Santa Maria,-29.6842,-53.8069,69.66,56,1,6.85,BR,2022-04-16 18:00:59
144,Husavik,66.0449,-17.3389,46.18,80,100,13.13,IS,2022-04-16 17:50:50
145,Ostrovnoy,68.0531,39.5131,30.88,84,100,8.55,RU,2022-04-16 18:01:00
146,Bilma,18.6853,12.9164,94.98,7,61,8.72,NE,2022-04-16 18:01:00
147,Samana,19.2056,-69.3369,83.43,58,90,12.21,DO,2022-04-16 18:01:01
148,Saint-Joseph,-21.3667,55.6167,75.58,80,45,14.61,RE,2022-04-16 18:01:01
149,Kyzyl-Suu,42.3414,78.0056,49.39,43,0,7.85,KG,2022-04-16 18:01:02
150,Bojnurd,37.4747,57.329,46.35,93,75,6.91,IR,2022-04-16 17:57:41
